"cjxiaoqu","constructionTime","bankuai","communityAverage","elevator","subway","school","hospital","supermarket"
"SOHO现代城",2009,"CBD",35675,1,0,0,1,1
"合生国际花园",1992,"CBD",60465,1,1,0,0,1
"金台里",2012,"CBD",37328,1,0,1,1,1
"富力城A区",1999,"CBD",42342,1,0,0,0,0
"慈云寺",2008,"CBD",55551,1,1,1,0,0
"富力城D区",1983,"CBD",49260,0,1,1,0,1
"朝阳园",2011,"CBD",52870,1,1,1,1,0
"国美第一城院",2005,"CBD",36869,1,0,0,0,1
"和里九区",1992,"安定门",86257,1,0,1,1,1
"林调社区",1988,"安定门",112534,1,1,0,1,0
"青年湖南里",2010,"安定门",38425,1,1,0,0,0
"泰利明苑",1999,"安定门",76520,1,1,0,1,1
"安外西河沿",1988,"安定门",88580,1,1,0,0,1
"德胜置业",2008,"安定门",112252,1,1,1,1,0
"和泰园",1998,"安定门",56315,1,1,1,1,1
"凯景铭座",2004,"安定门",87155,1,1,0,0,1
"康鸿家园",1989,"安定门",87329,1,1,1,1,0
"外馆西街",1980,"安定门",76650,1,1,1,0,1
"安华里二区",1980,"安定门",82623,1,1,1,0,0
"地兴居",1985,"安定门",106212,0,0,0,1,0
"安馨园",1998,"安定门",80189,1,1,1,0,0
"豪威家园",2005,"安定门",51223,0,0,0,0,1
"华府景园",1965,"安定门",58204,0,1,1,1,1
"六铺炕",1992,"安定门",86004,1,0,0,0,0
"禄米仓胡同院",2005,"安定门",90360,1,1,1,0,0
"青年湖东里",1987,"安定门",106314,1,1,0,0,0
"安外花园",1988,"安定门",67606,1,1,0,1,0
"光熙家园二期",1985,"安定门",131810,0,1,1,0,0
"青年湖北里",1992,"安定门",90647,1,1,0,1,0
"安华里三区",2002,"安定门",53639,1,1,1,0,1
"京宝花园",2006,"安定门",38845,1,0,1,1,1
"青年沟院",1995,"安定门",56427,1,1,1,0,1
"和街八区",1990,"安定门",48941,1,1,1,1,1
"甘水桥",1990,"安定门",66462,1,1,1,0,0
"交林",1996,"安定门",88092,1,1,0,1,1
"惠新北里",2001,"安定门",41324,1,0,0,0,0
"上龙西里",1985,"安定门",75870,1,1,1,1,1
"和里三区",2006,"安定门",85938,1,1,0,0,0
"季景沁园",1981,"安定门",103248,0,1,0,0,1
"和街十三区",2001,"安定门",48514,1,0,1,1,1
"皇姑坟小区",2007,"安定门",56335,1,0,0,1,0
"安德里北街院",2004,"安定门",79927,1,1,0,0,1
"安华里一区",1990,"安定门",81571,1,1,1,1,1
"安华西里二区",2002,"安定门",85557,1,1,1,1,0
"都市心海岸",1989,"安定门",106206,1,0,1,1,1
"世纪嘉园",1985,"安定门",89849,1,0,0,1,1
"安华里四区",2006,"安定门",55291,1,0,1,1,1
"安华里五区",1995,"安定门",56473,1,1,1,0,1
"工体南路",2002,"安定门",66952,1,1,1,1,0
"和街十二区",1994,"安定门",72877,1,1,1,1,1
"安德路院",1993,"安定门",76001,1,1,0,0,0
"国典华园",1992,"安定门",80845,1,1,0,0,1
"安德路",1979,"安定门",67859,1,1,1,0,0
"民旺园",2000,"安定门",77070,1,1,0,0,0
"胜古北里",1995,"安定门",91201,1,1,1,0,0
"安慧东里",2003,"安定门",80715,1,0,1,1,1
"胜古南里",2003,"安定门",107453,1,0,0,1,1
"安苑北里",2004,"安定门",40927,1,1,1,1,0
"南湖渠西里",2000,"安定门",59023,1,1,0,0,1
"静安里",2009,"安定门",62634,1,0,1,0,1
"铭科苑",2004,"安定门",79511,1,1,1,0,1
"安贞里",2009,"安定门",77025,1,0,1,0,0
"华严北里院",2003,"安定门",44326,1,1,1,1,0
"六铺炕二区",2005,"安定门",53106,1,1,0,0,0
"惠新里小区",2012,"安定门",36637,1,0,0,1,1
"双龙南里",2008,"安定门",47930,1,1,0,1,0
"柳芳南里",1995,"安定门",96915,1,1,1,0,1
"安华西里一区",1993,"安定门",52101,1,0,0,1,0
"融泽嘉园",1990,"安定门",68650,1,1,0,1,0
"安贞西里",1998,"安定门",60348,1,1,1,0,0
"天通西苑二区",1992,"安定门",49154,1,0,1,0,1
"翠成馨园",2002,"安定门",37661,1,1,1,0,0
"天通苑东一区",2007,"安定门",64222,1,0,0,0,1
"水利局一处宿舍",1992,"安宁庄",71765,1,1,0,0,1
"花园楼",2002,"安宁庄",64444,1,1,1,0,1
"陶瓷厂宿舍",2001,"安宁庄",66580,1,1,0,0,1
"温泉老年病医院宿舍",1992,"安宁庄",79684,1,0,0,1,1
"安宁庄东路院",1980,"安宁庄",83424,0,1,1,0,0
"清秀阁",2000,"安宁庄",51147,1,1,0,0,0
"地壳所",1982,"安宁庄",101269,1,1,0,0,0
"动力厂宿舍",1982,"安宁庄",112300,1,1,0,1,1
"金达园",2000,"安宁庄",61250,1,1,0,1,0
"毛纺住宅北小区",2003,"安宁庄",76529,1,1,1,1,1
"天秀花园澄秀园",1987,"安宁庄",115556,0,1,1,0,0
"海清园",2003,"安宁庄",81698,1,1,0,1,0
"龙兴园中区",2005,"安宁庄",86612,1,1,1,1,1
"安宁里",1983,"安宁庄",87843,1,0,0,1,1
"安宁佳园",1982,"安宁庄",56638,1,1,1,1,0
"安宁里南区",2005,"安宁庄",46484,1,1,0,1,0
"金榜园",2000,"安宁庄",67092,0,1,0,1,1
"安慧北里逸园",1999,"安宁庄",58963,1,0,1,1,1
"清景园",2003,"安宁庄",46232,1,0,1,1,0
"百旺新城",2005,"安宁庄",56964,1,0,1,1,0
"清上园",1991,"安宁庄",68349,1,0,1,0,1
"毛纺厂南小区",1997,"安宁庄",59262,1,0,0,0,0
"莱圳家园",2014,"安宁庄",43597,1,1,1,0,0
"胜古誉园",1992,"安贞",57700,1,1,0,0,1
"外馆东街院",1980,"安贞",81321,1,0,1,1,1
"安圣苑",1988,"安贞",88540,1,1,0,1,0
"东公街院",1998,"安贞",118631,1,1,1,1,0
"瑞士公寓",2006,"安贞",43245,1,0,0,1,0
"安外大街院",2005,"安贞",84297,1,0,0,0,1
"和里中街",1985,"安贞",64469,1,1,0,0,1
"安贞苑院",2004,"安贞",80380,1,1,0,0,1
"和里四区",2009,"安贞",52301,1,1,1,0,0
"深房大厦",2011,"安贞",30520,1,1,1,1,0
"健翔国际公寓",1986,"安贞",58935,1,1,0,1,0
"青年沟",2004,"安贞",90506,1,1,1,0,1
"和里东街院",2008,"安贞",49770,1,1,1,1,0
"安外东河沿",2003,"安贞",43663,1,0,1,1,1
"和街十区",1984,"安贞",75583,1,1,0,1,1
"鼓楼外大街",2004,"安贞",33783,1,0,1,1,0
"和街十四区",1994,"安贞",84310,1,1,0,0,0
"民安小区东直门内北小街",1995,"安贞",100445,1,1,1,0,0
"和里七区",1992,"安贞",71985,1,1,0,1,1
"望馨花园",2001,"安贞",77927,1,1,1,1,0
"六铺炕三区",1985,"安贞",66766,1,1,1,0,0
"千鹤家园",2008,"安贞",75792,1,0,0,1,0
"安华西里三区",2010,"安贞",39253,1,0,0,1,0
"东土城路院",2004,"安贞",65719,1,1,1,0,0
"胜古家园",2004,"安贞",46204,1,0,0,1,1
"汇鸿家园",1999,"安贞",83520,1,1,1,1,0
"安慧里三区",1996,"安贞",69698,1,1,1,1,1
"和街十一区",1989,"安贞",54975,1,1,0,1,1
"花家地西里二区",1986,"安贞",55884,1,1,0,0,0
"世纪村东区",2004,"安贞",119289,1,0,0,1,1
"保利金泉",2012,"安贞",46120,1,0,1,1,1
"华亭嘉园",1997,"安贞",60244,1,1,1,1,0
"交道口东大街",2002,"安贞",65810,1,1,1,0,0
"松榆里",2003,"安贞",45332,1,1,1,1,1
"和街十五区院",2008,"安贞",39766,1,0,1,0,1
"豆瓣胡同",2007,"安贞",69760,1,0,0,1,0
"黄寺大街院",2013,"安贞",47847,1,1,0,1,1
"阿尔法社区二期",2004,"安贞",60653,1,1,0,0,0
"芍药居院",1989,"安贞",122633,1,0,0,1,1
"龙跃苑三区",2008,"安贞",42127,1,0,0,1,1
"光熙门北里",2010,"安贞",42995,1,0,0,0,0
"华严北里小区",2010,"安贞",70205,1,1,0,1,1
"花家地南里",1996,"安贞",60688,1,1,1,0,0
"安慧里二区",2010,"安贞",56901,1,1,1,0,0
"天通苑东三区",2001,"安贞",53994,1,1,0,1,1
"车道沟南里",2008,"安贞",51970,1,0,0,1,1
"福景苑",1992,"奥林匹克公园",72037,1,1,0,1,0
"花虎沟院",1980,"奥林匹克公园",90381,1,1,1,1,0
"澳景花庭",1988,"奥林匹克公园",89912,1,1,0,0,1
"东方郁金香",1998,"奥林匹克公园",120359,0,1,1,1,0
"九台家园",2003,"奥林匹克公园",90658,1,0,1,1,0
"林萃路院",1987,"奥林匹克公园",106017,1,1,1,0,0
"汽修一厂宿舍",1996,"奥林匹克公园",45052,1,1,0,1,1
"融域嘉园",1984,"奥林匹克公园",52012,1,1,0,1,1
"安外北苑院",2010,"奥林匹克公园",79727,1,1,0,0,0
"畅清园",2004,"奥林匹克公园",92164,1,1,1,0,0
"润枫德尚苑",1990,"奥林匹克公园",112127,1,1,1,1,1
"天通苑本一区",1979,"奥林匹克公园",58694,1,1,1,0,1
"澳林春天二期",1998,"奥林匹克公园",69160,1,1,1,0,0
"天润福熙大道",2005,"奥林匹克公园",43429,1,1,1,0,0
"澳林春天三期",2010,"奥林匹克公园",55053,1,0,1,0,0
"国奥村",1999,"奥林匹克公园",86380,1,1,1,1,0
"名苑雅居",1998,"奥林匹克公园",53226,1,1,1,0,1
"澳林春天一期",2005,"奥林匹克公园",84184,1,0,0,1,0
"东会新村",2006,"奥林匹克公园",120447,1,1,0,0,1
"京师园",2008,"奥林匹克公园",65934,1,1,0,0,0
"澳林春天五期",2006,"奥林匹克公园",44545,0,1,1,1,1
"盛和家园",2000,"奥林匹克公园",54612,1,0,0,1,0
"富力桃园B区",1970,"奥林匹克公园",123029,0,0,0,0,1
"公安局宿舍",1999,"奥林匹克公园",165490,1,1,0,1,1
"华盛乐章",2015,"奥林匹克公园",38086,1,0,0,0,0
"北沙滩院",2002,"奥林匹克公园",77225,1,1,0,1,0
"华源冠军城",2006,"奥林匹克公园",55585,1,1,1,0,0
"世纪龙祥嘉园",1999,"奥林匹克公园",38615,1,1,0,0,0
"澳林春天四期",2002,"奥林匹克公园",52999,1,1,0,0,1
"观林园",2001,"奥林匹克公园",68665,1,1,0,0,1
"双花园南里一区",2014,"奥林匹克公园",66207,1,0,0,1,1
"拂林园",1992,"奥林匹克公园",113284,1,0,1,1,0
"富力桃园A区",2007,"奥林匹克公园",66036,1,1,0,0,1
"荣尊堡国际俱乐部公寓",1993,"奥林匹克公园",71083,1,1,0,1,0
"建材城西二里",2000,"奥林匹克公园",39435,1,1,0,1,1
"慧忠北里",2002,"奥林匹克公园",73910,1,1,1,0,1
"万科星园",1998,"奥林匹克公园",37527,1,0,0,1,1
"上元君庭",1996,"奥林匹克公园",40931,1,0,0,1,1
"爱这城一期",2002,"奥林匹克公园",65374,1,1,1,1,1
"天和人家",2005,"奥林匹克公园",48141,1,0,1,0,0
"清缘东里",2000,"奥林匹克公园",42786,1,0,1,0,1
"北京青年城",1997,"奥林匹克公园",82437,1,1,0,0,0
"南沙滩小区",1999,"奥林匹克公园",66408,1,1,1,0,0
"万科城市花园",1999,"奥林匹克公园",36953,1,0,1,1,0
"慧忠里",1996,"奥林匹克公园",80645,1,1,0,0,0
"梧桐苑知秋园",1998,"八角",87035,1,0,0,0,0
"八角路小区",1982,"八角",90461,1,1,1,1,1
"古城特钢楼",2014,"八角",43415,1,1,1,0,0
"京原路院",2005,"八角",81392,1,0,1,0,1
"地铁楼",1989,"八角",105908,1,0,1,1,1
"十万坪",1981,"八角",60933,0,1,0,0,0
"八宝山南路院",2003,"八角",55220,1,0,1,1,0
"古城西路",1983,"八角",84932,1,1,1,0,0
"宏鑫家园",2005,"八角",53910,1,0,1,1,0
"建西苑北里",2004,"八角",59738,1,1,1,0,1
"青年公寓",1992,"八角",46847,0,0,0,0,1
"林业楼",2006,"八角",54817,1,0,1,1,0
"龙泉花园",1997,"八角",57134,1,1,1,0,0
"八角南路",2004,"八角",43567,1,0,0,1,1
"古城南里",2015,"八角",66300,1,1,1,0,1
"金福苑",2007,"八角",26611,1,1,1,0,1
"古城南路",2011,"八角",38245,1,0,0,0,0
"古城路小区",2003,"八角",75365,1,1,0,1,0
"金隅嘉业",2009,"八角",119332,1,1,0,0,0
"八角中里",2004,"八角",76569,1,0,0,1,0
"久筑物业",2004,"八角",68148,1,1,1,0,0
"广安_康馨家园",1992,"八角",57889,1,0,1,0,0
"古城北路",2005,"八角",60793,1,0,0,1,0
"老山西里",2010,"八角",57024,1,0,1,0,0
"鼎城",2004,"八角",52197,1,1,0,1,1
"融景城",1998,"八角",67774,1,0,0,0,0
"聚兴园",1989,"八角",42527,1,1,0,0,1
"建西苑中里",2006,"八角",75993,1,1,0,0,0
"八角北里",1991,"八角",59606,1,1,1,1,0
"龙德紫金",2012,"八角",47447,1,0,1,0,1
"北重西厂",1979,"八角",92127,1,1,0,1,0
"八角北路",2006,"八角",60602,1,1,0,1,1
"八角南里",2007,"八角",49350,1,1,0,1,1
"地铁古城家园",1992,"八角",58820,1,1,1,0,0
"建西苑南里",2006,"八角",97655,1,1,0,1,0
"苹果园小区一区",1997,"八角",66864,1,1,0,0,0
"六合园",2003,"八角",36411,1,0,0,0,1
"京汉旭城",1987,"八角",123002,1,1,1,0,0
"海特花园小区",2007,"八角",46072,1,0,0,1,0
"彩电宿舍",1980,"白石桥",99876,1,1,1,0,1
"车公庄西路甲院",1981,"白石桥",103533,1,1,0,1,1
"三虎桥南路",2002,"白石桥",46410,1,1,1,1,1
"半壁街南路院",1992,"白石桥",88516,0,1,1,0,1
"车道沟东里",1963,"白石桥",98437,0,1,1,1,1
"豪柏国际公寓",1993,"白石桥",64115,1,1,1,0,1
"劳动关系学院",2007,"白石桥",95184,1,1,0,0,1
"环保局宿舍楼",2010,"白石桥",60026,1,1,1,0,0
"上园村",2000,"白石桥",27952,0,0,1,1,1
"机械研究院东区",2003,"白石桥",53235,1,1,1,0,0
"科委宿舍",2004,"白石桥",70685,1,1,1,1,1
"人济山庄",1963,"白石桥",91440,0,0,0,1,0
"机械研究院西区",1980,"白石桥",110516,0,1,0,1,0
"阜北小区",2000,"白石桥",35396,1,1,0,1,0
"万寿园",2009,"白石桥",37277,1,0,1,0,0
"观澜国际",1982,"白石桥",66683,0,1,0,0,0
"昌运宫",1983,"白石桥",81452,1,1,1,0,1
"三里河路院",2005,"白石桥",54824,1,0,1,0,1
"景王坟",1990,"白石桥",74064,1,0,0,1,0
"国兴家园",2012,"白石桥",35391,1,0,1,1,0
"安德馨居",2003,"白石桥",39052,1,0,1,0,1
"车公庄西路院",1985,"白石桥",46571,1,0,0,1,1
"阜成门外北街",1984,"白石桥",69369,1,0,0,1,1
"阜光里小区",1999,"白石桥",70230,1,0,0,0,1
"厂洼小区",2001,"白石桥",56622,1,1,0,0,0
"建设部大院",2002,"白石桥",93124,1,0,0,1,0
"德宝新园",1998,"白石桥",113935,0,1,0,1,1
"厂洼街院",2007,"白石桥",62834,1,1,1,1,1
"北无宿舍",2003,"白石桥",47463,1,1,1,0,1
"扣钟北里",1994,"白石桥",62022,1,1,0,1,1
"交大嘉园",2007,"白石桥",75539,1,1,1,1,1
"美林花园",1987,"白石桥",135229,1,0,1,1,1
"车道沟院",2005,"白石桥",48343,1,1,1,0,1
"定慧西里",2000,"白石桥",64901,1,1,1,1,0
"厂洼西街院",2012,"白石桥",41551,1,0,0,1,1
"今典花园",1986,"白石桥",47270,1,0,1,1,1
"翠微路院",2005,"白石桥",70693,1,1,1,1,1
"金泰城公寓",1990,"白纸坊",77051,1,1,1,1,1
"盆儿胡同院",1989,"白纸坊",130791,1,1,1,0,1
"广信嘉园",2009,"白纸坊",58689,1,0,1,0,1
"菜户营院",2005,"白纸坊",90048,1,1,1,0,0
"嘉莲苑",2002,"白纸坊",63230,1,1,1,1,0
"报国寺东夹道东院",1992,"白纸坊",73341,1,1,1,0,0
"大西洋新城G区",1984,"白纸坊",87304,1,0,0,0,1
"槐柏树街北里",2001,"白纸坊",48163,1,0,0,0,0
"建功南里",1982,"白纸坊",58803,1,1,0,0,0
"南线里小区",1979,"白纸坊",87048,1,1,0,0,0
"万泉寺东路院",2008,"白纸坊",74259,1,1,1,1,0
"万泉寺南里",1993,"白纸坊",74834,1,1,1,0,0
"金兴苑",1990,"白纸坊",63326,1,0,0,1,0
"马连道路院",2007,"白纸坊",76388,1,1,0,1,1
"绿林苑",2004,"白纸坊",37883,1,1,1,0,0
"广安门内大街",2006,"白纸坊",73820,1,1,1,0,0
"金泰城迷你",1998,"白纸坊",70328,0,1,0,0,1
"丽泽雅园",2004,"白纸坊",79654,1,1,0,0,0
"南曦大厦",2003,"白纸坊",59186,1,1,0,0,1
"三山新新家园",1998,"白纸坊",85111,1,0,1,0,0
"天伦北里",2003,"白纸坊",128939,1,1,0,1,1
"建功北里",2003,"白纸坊",92522,1,1,0,1,1
"牛街",1998,"白纸坊",65860,1,1,0,1,1
"南线阁院",1987,"白纸坊",94460,1,1,1,0,1
"金泰城丽湾",1985,"白纸坊",122170,1,1,0,1,0
"开阳里三区",2012,"白纸坊",101676,1,1,1,1,1
"牛街西里",1998,"白纸坊",59630,1,1,1,1,1
"考拉社区",2000,"白纸坊",55778,1,0,0,1,0
"万年花城三期",2001,"白纸坊",35854,1,0,1,0,0
"牛街东里",1989,"白纸坊",114107,1,1,1,1,0
"马家堡西里",1993,"白纸坊",85645,1,1,0,0,0
"鹏润家园",1998,"白纸坊",64588,1,1,1,1,1
"大_楼",2003,"百子湾",50038,1,0,0,1,1
"屯三里",1990,"百子湾",80890,1,1,0,0,1
"观音景园二期",1980,"百子湾",43502,0,1,1,1,0
"金都杭城西区",1991,"百子湾",75861,1,1,0,0,0
"北京建筑木材总厂宿舍",2004,"百子湾",91962,1,1,1,0,0
"金泰先锋北区",1999,"百子湾",80447,1,1,1,1,1
"观音惠园",2005,"百子湾",42076,1,1,0,0,0
"金泰先锋南区",1993,"百子湾",72130,1,1,1,1,1
"金蝉里",1996,"百子湾",60297,1,1,0,1,1
"金都心语",1999,"百子湾",61591,1,1,0,0,0
"金茂府东区",1999,"百子湾",63012,1,1,0,0,1
"万科蓝山",1998,"百子湾",47352,1,1,0,1,0
"金海国际北区",2011,"百子湾",146874,1,0,1,0,1
"金茂府南区",2004,"百子湾",36885,1,0,1,0,0
"大成国际",1994,"百子湾",55321,1,0,1,0,0
"乐成国际",2003,"百子湾",100166,1,1,1,1,0
"保利嘉园三院",2005,"百子湾",77823,1,0,1,0,1
"北三环中路院",1989,"百子湾",74729,1,1,1,0,1
"金都杭城东区",1981,"百子湾",130740,0,1,1,1,0
"碧水云天",1991,"百子湾",94958,1,1,1,1,1
"风度柏林",1995,"百子湾",66650,0,1,0,0,0
"金海国际南区",1993,"百子湾",106975,1,1,1,0,1
"百子湾家园一区",2011,"百子湾",81544,1,1,0,0,0
"富力又一城A区",2008,"百子湾",35630,1,1,1,1,1
"百子湾家园三区",1992,"百子湾",85564,1,1,1,1,1
"石佛营东里院",2012,"百子湾",38758,1,1,1,0,0
"首城国际",2001,"百子湾",36432,1,1,1,0,0
"百子湾家园二区",2007,"百子湾",35386,1,0,1,0,0
"天鹅湾北区",1989,"百子湾",60333,1,1,1,0,1
"CBD总部公寓二期",2002,"百子湾",44850,1,0,0,0,0
"CBD传奇",1990,"百子湾",57180,1,1,0,0,0
"金蝉南里",2001,"百子湾",29574,1,0,1,0,1
"花园闸小区",2002,"百子湾",47048,1,1,0,1,0
"东恒时代二期",2009,"百子湾",78235,1,1,0,0,1
"苹果社区南区",1992,"百子湾",34641,1,0,1,1,0
"通惠家园",1999,"百子湾",30962,1,0,0,0,1
"世纪东方城",2002,"百子湾",36090,1,0,1,0,1
"华威北里",2012,"百子湾",65820,1,1,0,0,0
"金港国际",2005,"百子湾",61390,1,1,1,0,0
"后现代城",2002,"百子湾",43307,1,1,0,0,1
"松榆西里",1999,"百子湾",39215,1,1,1,0,1
"美利山",2011,"百子湾",34373,1,0,0,0,1
"东幸福街",1979,"北大地",61520,1,1,0,1,0
"丰台西路院",1999,"北大地",70502,1,1,0,1,0
"文体路甲院",1958,"北大地",86713,0,0,1,0,1
"北大地四里",1988,"北大地",95124,1,1,1,0,0
"东安街头条院",1994,"北大地",116754,1,1,1,0,0
"七里庄路",2004,"北大地",135995,1,1,1,0,0
"同盛里",2001,"北大地",75142,1,0,1,1,1
"北大街南里",2002,"北大地",89521,1,0,0,0,0
"东安街头条甲",1994,"北大地",110904,0,1,1,0,1
"北大地一里",1987,"北大地",86416,0,1,1,1,1
"粮食局宿舍",1980,"北大地",83927,1,1,1,0,0
"文体路院",1997,"北大地",66716,1,1,0,1,0
"东安街头条",2004,"北大地",92375,1,0,0,0,1
"南五里店院",1993,"北大地",53656,1,0,0,1,1
"北大街北里",2000,"北大地",87404,1,1,0,0,1
"恒富中街院",2006,"北大地",78152,1,1,1,1,1
"富丰园小区",2010,"北大地",102606,1,1,0,0,1
"东大街东里",1997,"北大地",58907,1,1,0,0,1
"东大街西里",1987,"北大地",61195,1,1,0,0,1
"福顺里",2008,"北大地",63651,1,0,0,1,0
"保利欣苑",2008,"北大地",92027,1,1,0,1,0
"大井南里",2008,"北大地",65985,1,1,1,1,1
"丰体时代花园",1994,"北大地",55111,1,0,0,1,0
"盛鑫嘉园",2000,"北大地",58126,1,1,0,1,0
"望园东里",2014,"北大地",44061,1,1,1,1,0
"垡头西里",2003,"北工大",122506,1,1,0,1,1
"富贵园三区",1993,"北工大",102643,1,1,1,0,0
"金蝉北里",2010,"北工大",50209,1,0,1,0,0
"北京华侨城院",2004,"北工大",62382,1,0,1,0,0
"乐园小区",1999,"北工大",52911,1,1,1,1,1
"果园",2012,"北关",83158,1,0,0,0,0
"万福家园",1995,"北关",81637,1,1,0,1,0
"北关中学",1991,"北关",96259,0,1,0,1,0
"东营前街",1984,"北关",129983,1,1,1,1,0
"华诚花园",2005,"北关",64552,1,1,0,1,0
"金海街院",1999,"北关",76305,1,1,1,0,1
"南小园",1990,"北关",120817,1,1,1,1,0
"如意园",2004,"北关",40439,1,1,1,0,1
"天桥湾",2007,"北关",70498,1,0,0,1,0
"金地格林格林",1999,"北关",78864,1,1,1,0,0
"东阁雅舍",2003,"北关",103076,1,1,0,0,0
"通惠小区",2000,"北关",61067,1,1,0,0,1
"北苑南路院",2003,"北关",80941,1,1,0,0,0
"博客园",2005,"北关",81534,1,1,0,0,0
"帅府园",2003,"北关",128168,1,1,0,1,1
"天赐良园西三期",2004,"北关",43127,1,0,1,1,0
"枫露花园",2005,"北关",78682,1,1,0,0,1
"皓月苑",2009,"北关",94063,1,1,1,0,1
"红旗家属院",2010,"北关",97118,1,1,1,1,1
"后南仓",2006,"北关",55099,1,1,0,1,0
"潞潮佳苑",2003,"北关",75022,1,1,0,0,1
"乔庄东区",1995,"北关",87137,1,1,0,1,0
"翠福园",2001,"北关",55316,1,1,1,0,0
"方恒东景",1995,"北关",61806,1,1,0,1,0
"疃里新村",1993,"北关",67712,1,1,1,1,1
"尚东庭",2011,"北关",77777,1,0,0,1,0
"天赐良园一期",2006,"北关",91022,1,1,1,1,0
"富河园",2009,"北关",63312,1,1,0,1,1
"古韵新居",1980,"北关",67440,1,1,0,0,0
"财富东方",2001,"北关",84890,1,1,1,0,0
"天赐良园二期",2003,"北关",46059,1,0,1,0,0
"天赐良园东三期",2004,"北关",112550,1,1,1,0,0
"翠屏北里西区",1996,"北关",58741,1,1,1,1,1
"东潞苑",2003,"北关",61239,1,1,0,0,0
"上潞园",2011,"北关",61865,1,0,0,0,1
"澜花语岸",1998,"北关",47772,1,0,0,1,0
"K清水湾",1995,"北关",46655,1,1,1,0,0
"富力金禧花园",1980,"北关",56983,1,1,1,1,0
"京贸国际城西区",1999,"北关",35393,1,1,1,0,1
"百合湾",2007,"北关",66217,1,0,1,1,1
"荔景园",2002,"北关",38959,1,0,1,1,0
"加华印象街",2003,"北关",57718,1,1,0,1,1
"四海公寓",1999,"北关",75239,1,1,1,1,1
"BOBO自由城",1990,"北关",89992,1,1,0,0,0
"时尚街区东区",2002,"北关",45110,1,1,1,1,0
"建东苑",2003,"北关",38208,1,1,1,1,0
"海棠湾一期",2008,"北关",79346,1,1,0,0,1
"华龙小区",1998,"北关",31485,1,0,0,1,0
"DBC加州小镇",2006,"北关",48298,1,1,1,0,1
"汇达公寓",1989,"北京南站",69414,1,1,1,1,1
"迦南大厦",2001,"北京南站",70262,1,1,1,1,1
"开阳里五区",2000,"北京南站",86806,1,1,1,1,1
"翠林三里",2003,"北京南站",97078,1,1,1,1,0
"开阳里东巷院",1990,"北京南站",77020,1,1,0,0,1
"草桥物业小区",2002,"北京南站",82035,1,1,0,1,1
"翠林二里",1997,"北京南站",83234,1,1,0,1,0
"翠海明苑",2005,"北京南站",100713,1,1,0,1,1
"开阳里八区",1990,"北京南站",95763,1,1,0,0,1
"翠林一里",1979,"北京南站",86292,0,1,0,1,0
"东滨河路院",1983,"北京南站",54615,1,1,1,1,0
"芳群公寓",2004,"北京南站",57890,1,1,0,0,1
